title,release_date,runtime,genres,budget,revenue
Avengers: Endgame,2019-04-24,181,"['Adventure', 'Science Fiction', 'Action']",356000000,2797800564
Star Wars: The Force Awakens,2015-12-15,136,"['Action', 'Adventure', 'Science Fiction', 'Fantasy']",245000000,2068223624
Avengers: Infinity War,2018-04-25,149,"['Adventure', 'Action', 'Science Fiction']",300000000,2046239637
Jurassic World,2015-06-06,124,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",150000000,1671713208
The Lion King,2019-07-12,118,"['Adventure', 'Family', 'Music']",260000000,1656943394
The Avengers,2012-04-25,143,"['Science Fiction', 'Action', 'Adventure']",220000000,1519557910
Furious 7,2015-04-01,137,"['Action', 'Thriller']",190000000,1515047671
Frozen II,2019-11-20,104,"['Animation', 'Family', 'Adventure']",150000000,1450026933
Avengers: Age of Ultron,2015-04-22,141,"['Action', 'Adventure', 'Science Fiction']",250000000,1405403694
Black Panther,2018-02-13,134,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",200000000,1346739107
Harry Potter and the Deathly Hallows: Part 2,2011-07-07,130,"['Fantasy', 'Adventure']",125000000,1341511219
Star Wars: The Last Jedi,2017-12-13,152,"['Science Fiction', 'Action', 'Adventure']",200000000,1332539889
Jurassic World: Fallen Kingdom,2018-06-06,129,"['Action', 'Adventure', 'Science Fiction']",170000000,1303459585
Frozen,2013-11-27,102,"['Animation', 'Adventure', 'Family']",150000000,1274219009
Beauty and the Beast,2017-03-16,129,"['Family', 'Fantasy', 'Romance']",160000000,1263521126
Incredibles 2,2018-06-14,118,"['Action', 'Adventure', 'Animation', 'Family']",200000000,1242805359
The Fate of the Furious,2017-04-12,136,"['Action', 'Crime', 'Thriller']",250000000,1238764765
Iron Man 3,2013-04-18,130,"['Action', 'Adventure', 'Science Fiction']",200000000,1214811252
Minions,2015-06-17,91,"['Family', 'Animation', 'Adventure', 'Comedy']",74000000,1156730962
Captain America: Civil War,2016-04-27,147,"['Adventure', 'Action', 'Science Fiction']",250000000,1153296293
Aquaman,2018-12-07,144,"['Action', 'Adventure', 'Fantasy']",160000000,1148461807
Spider-Man: Far from Home,2019-06-28,129,"['Action', 'Adventure', 'Science Fiction']",160000000,1131927996
Captain Marvel,2019-03-06,124,"['Action', 'Adventure', 'Science Fiction']",152000000,1128274794
Transformers: Dark of the Moon,2011-06-28,154,"['Action', 'Science Fiction', 'Adventure']",195000000,1123794079
Skyfall,2012-10-25,143,"['Action', 'Adventure', 'Thriller']",200000000,1108561013
Transformers: Age of Extinction,2014-06-25,165,"['Science Fiction', 'Action', 'Adventure']",210000000,1104054072
The Dark Knight Rises,2012-07-16,165,"['Action', 'Crime', 'Drama', 'Thriller']",250000000,1081041287
Joker,2019-10-02,122,"['Crime', 'Thriller', 'Drama']",55000000,1074251311
Star Wars: The Rise of Skywalker,2019-12-18,142,"['Action', 'Adventure', 'Science Fiction']",250000000,1074144248
Toy Story 4,2019-06-19,100,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",175000000,1073394593
Toy Story 3,2010-06-16,103,"['Animation', 'Family', 'Comedy']",200000000,1066969703
Rogue One: A Star Wars Story,2016-12-14,133,"['Action', 'Adventure', 'Science Fiction']",200000000,1056057273
Aladdin,2019-05-22,128,"['Adventure', 'Fantasy', 'Romance', 'Family']",183000000,1047612394
Pirates of the Caribbean: On Stranger Tides,2011-05-14,136,"['Adventure', 'Action', 'Fantasy']",380000000,1045713802
Despicable Me 3,2017-06-15,96,"['Action', 'Animation', 'Comedy', 'Family', 'Adventure']",80000000,1031552585
Finding Dory,2016-06-16,97,"['Adventure', 'Animation', 'Comedy', 'Family']",200000000,1028570889
Alice in Wonderland,2010-03-03,108,"['Family', 'Fantasy', 'Adventure']",200000000,1025467110
Zootopia,2016-02-11,109,"['Animation', 'Adventure', 'Family', 'Comedy']",150000000,1023784195
The Hobbit: An Unexpected Journey,2012-11-26,169,"['Adventure', 'Fantasy', 'Action']",250000000,1021103568
In The Mood For Surrealism or 8021,2018-04-24,2,"['Action', 'Drama', 'Comedy', 'Documentary']",0,1000000000
Despicable Me 2,2013-06-25,98,"['Animation', 'Comedy', 'Family']",76000000,970761885
The Jungle Book,2016-04-07,106,"['Adventure', 'Drama', 'Family', 'Fantasy']",175000000,966550600
Jumanji: Welcome to the Jungle,2017-12-09,119,"['Action', 'Adventure', 'Comedy', 'Fantasy']",90000000,962102237
The Hobbit: The Desolation of Smaug,2013-12-11,161,"['Adventure', 'Fantasy', 'Action']",250000000,958400000
The Hobbit: The Battle of the Five Armies,2014-12-10,144,"['Action', 'Adventure', 'Fantasy']",250000000,956019788
Harry Potter and the Deathly Hallows: Part 1,2010-10-17,146,"['Adventure', 'Fantasy']",250000000,954305868
Bohemian Rhapsody,2018-10-24,135,"['Drama', 'Music']",52000000,894027543
Spectre,2015-10-26,148,"['Action', 'Adventure', 'Thriller']",245000000,880674609
Spider-Man: Homecoming,2017-07-05,133,"['Action', 'Adventure', 'Science Fiction', 'Drama']",175000000,880166924
Ice Age: Continental Drift,2012-06-26,88,"['Animation', 'Comedy', 'Adventure', 'Family']",95000000,877244782
The Secret Life of Pets,2016-06-18,87,"['Adventure', 'Comedy', 'Animation', 'Family']",75000000,875457937
Batman v Superman: Dawn of Justice,2016-03-23,151,"['Action', 'Adventure', 'Fantasy']",250000000,873634919
战狼2,2017-07-27,126,"['War', 'Action', 'Drama']",29700000,870322670
Guardians of the Galaxy Vol. 2,2017-04-19,137,"['Action', 'Adventure', 'Comedy', 'Science Fiction']",200000000,863756051
Inside Out,2015-06-09,95,"['Drama', 'Comedy', 'Animation', 'Family']",175000000,857611174
Venom,2018-09-28,112,"['Science Fiction', 'Action']",116000000,855013954
Thor: Ragnarok,2017-10-25,131,"['Action', 'Adventure', 'Comedy', 'Fantasy']",180000000,853977126
The Hunger Games: Catching Fire,2013-11-15,146,"['Adventure', 'Action', 'Science Fiction']",130000000,847423452
The Twilight Saga: Breaking Dawn - Part 2,2012-11-13,115,"['Adventure', 'Fantasy', 'Drama', 'Romance']",120000000,829000000
Inception,2010-07-15,148,"['Action', 'Science Fiction', 'Adventure']",160000000,825532764
Wonder Woman,2017-05-30,141,"['Action', 'Adventure', 'Fantasy']",149000000,821847012
Fantastic Beasts and Where to Find Them,2016-11-16,133,"['Adventure', 'Family', 'Fantasy']",180000000,809342332
Coco,2017-10-27,105,"['Animation', 'Family', 'Comedy', 'Adventure', 'Fantasy']",175000000,800526015
Pirates of the Caribbean: Dead Men Tell No Tales,2017-05-23,129,"['Adventure', 'Action', 'Fantasy', 'Comedy']",230000000,794861794
Mission: Impossible - Fallout,2018-07-13,148,"['Action', 'Adventure']",178000000,791017452
Fast & Furious 6,2013-05-21,131,"['Action', 'Thriller', 'Crime']",160000000,788679850
Deadpool,2016-02-09,108,"['Action', 'Adventure', 'Comedy']",58000000,783100000
Guardians of the Galaxy,2014-07-30,121,"['Action', 'Science Fiction', 'Adventure']",170000000,772776600
Fast & Furious Presents: Hobbs & Shaw,2019-08-01,137,"['Action', 'Adventure', 'Comedy']",200000000,760098996
Maleficent,2014-05-28,97,"['Fantasy', 'Adventure', 'Action', 'Family', 'Romance']",180000000,758539785
The Amazing Spider-Man,2012-06-23,136,"['Action', 'Adventure', 'Fantasy']",215000000,757930663
Shrek Forever After,2010-05-16,93,"['Comedy', 'Adventure', 'Fantasy', 'Animation', 'Family']",165000000,752600867
The Hunger Games: Mockingjay - Part 1,2014-11-19,123,"['Science Fiction', 'Adventure', 'Thriller']",125000000,752100229
X-Men: Days of Future Past,2014-05-15,131,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",250000000,747862775
Madagascar 3: Europe's Most Wanted,2012-06-06,93,"['Animation', 'Family', 'Comedy']",145000000,746921274
Suicide Squad,2016-08-03,123,"['Action', 'Adventure', 'Crime', 'Fantasy', 'Science Fiction']",175000000,746846894
Monsters University,2013-06-20,104,"['Animation', 'Family']",200000000,743559607
Deadpool 2,2018-05-10,119,"['Action', 'Comedy', 'Adventure']",110000000,741547413
Gravity,2013-10-03,91,"['Science Fiction', 'Thriller', 'Drama']",105000000,723192705
Captain America: The Winter Soldier,2014-03-20,136,"['Action', 'Adventure', 'Science Fiction']",170000000,714766572
The Twilight Saga: Breaking Dawn - Part 1,2011-11-16,117,"['Adventure', 'Fantasy', 'Romance']",110000000,712171856
Dawn of the Planet of the Apes,2014-06-26,130,"['Science Fiction', 'Action', 'Drama', 'Thriller']",170000000,710644566
The Amazing Spider-Man 2,2014-04-16,142,"['Action', 'Adventure', 'Fantasy']",200000000,708962323
It,2017-09-06,135,['Horror'],35000000,701796444
The Twilight Saga: Eclipse,2010-06-23,124,"['Adventure', 'Fantasy', 'Drama', 'Romance']",68000000,698491347
Moana,2016-11-23,107,"['Adventure', 'Comedy', 'Family', 'Animation']",150000000,695331111
Mission: Impossible - Ghost Protocol,2011-12-07,133,"['Action', 'Thriller', 'Adventure']",145000000,694713380
The Hunger Games,2012-03-12,142,"['Science Fiction', 'Adventure', 'Fantasy']",75000000,691210692
哪吒之魔童降世,2019-07-26,110,"['Animation', 'Fantasy', 'Comedy']",0,686067000
Mission: Impossible - Rogue Nation,2015-07-23,131,"['Action', 'Adventure']",150000000,682330139
Doctor Strange,2016-10-25,115,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",165000000,677700000
Interstellar,2014-11-05,169,"['Adventure', 'Drama', 'Science Fiction']",165000000,675120017
Man of Steel,2013-06-12,143,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",225000000,668045518
Kung Fu Panda 2,2011-05-25,91,"['Animation', 'Family']",150000000,665692281
Justice League,2017-11-15,120,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",300000000,657924295
Big Hero 6,2014-10-24,102,"['Adventure', 'Family', 'Animation', 'Action', 'Comedy']",165000000,657827828
The Hunger Games: Mockingjay - Part 2,2015-11-18,137,"['Action', 'Adventure', 'Science Fiction']",160000000,653428261
Fantastic Beasts: The Crimes of Grindelwald,2018-11-14,134,"['Adventure', 'Fantasy', 'Family']",200000000,653355901
Thor: The Dark World,2013-10-29,112,"['Action', 'Adventure', 'Fantasy']",170000000,644571402
Sing,2016-11-23,108,"['Animation', 'Comedy', 'Drama', 'Family']",75000000,634151679
The Martian,2015-09-30,141,"['Drama', 'Adventure', 'Science Fiction']",108000000,630161890
Fast Five,2011-04-20,130,"['Action', 'Thriller', 'Crime']",125000000,626137675
Men in Black 3,2012-05-23,106,"['Action', 'Comedy', 'Science Fiction']",225000000,624026776
Iron Man 2,2010-04-28,124,"['Adventure', 'Action', 'Science Fiction']",200000000,623933331
Ant-Man and the Wasp,2018-07-04,119,"['Action', 'Adventure', 'Science Fiction', 'Comedy']",140000000,622674139
Logan,2017-02-28,137,"['Action', 'Drama', 'Science Fiction']",97000000,619021436
How to Train Your Dragon 2,2014-06-09,102,"['Fantasy', 'Action', 'Adventure', 'Animation', 'Comedy', 'Family']",145000000,609123048
Life of Pi,2012-11-20,127,"['Adventure', 'Drama', 'Action']",120000000,609016565
Transformers: The Last Knight,2017-06-16,149,"['Action', 'Science Fiction', 'Thriller', 'Adventure']",217000000,605425157
Tangled,2010-11-24,100,"['Animation', 'Family']",260000000,591794936
The Croods,2013-03-20,98,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",135000000,587204668
Ready Player One,2018-03-28,140,"['Adventure', 'Science Fiction']",175000000,582890172
红海行动,2018-02-16,142,"['Action', 'Thriller', 'War', 'Drama']",70000000,579220560
Fifty Shades of Grey,2015-02-11,125,"['Drama', 'Romance', 'Thriller']",4000000,571006128
Kong: Skull Island,2017-03-08,118,"['Action', 'Adventure', 'Fantasy']",185000000,566652812
The Smurfs,2011-07-29,103,"['Animation', 'Family', 'Adventure', 'Comedy', 'Fantasy']",110000000,563749323
Cars 2,2011-06-11,106,"['Animation', 'Family', 'Adventure', 'Comedy']",200000000,559852396
Puss in Boots,2011-10-28,90,"['Action', 'Adventure', 'Animation', 'Family', 'Fantasy', 'Comedy']",130000000,554987477
美人鱼,2016-02-08,93,"['Comedy', 'Fantasy', 'Romance']",60720000,553810228
Ted,2012-06-29,107,"['Comedy', 'Fantasy']",50000000,549368315
X-Men: Apocalypse,2016-05-18,144,"['Action', 'Adventure', 'Science Fiction', 'Fantasy']",178000000,543934787
Cinderella,2015-03-12,105,"['Romance', 'Fantasy', 'Family', 'Drama']",95000000,543514353
Despicable Me,2010-07-08,95,"['Animation', 'Family']",69000000,543513985
American Sniper,2014-12-11,133,"['War', 'Action']",58800000,542307423
Brave,2012-06-21,93,"['Animation', 'Adventure', 'Comedy', 'Family', 'Action', 'Fantasy']",185000000,538983207
The Revenant,2015-12-25,157,"['Western', 'Drama', 'Adventure']",135000000,532950503
World War Z,2013-06-20,116,"['Action', 'Drama', 'Horror', 'Science Fiction', 'Thriller']",200000000,531865000
The Meg,2018-08-09,113,"['Action', 'Science Fiction', 'Horror']",150000000,530243742
Ralph Breaks the Internet,2018-11-20,112,"['Family', 'Animation', 'Comedy', 'Adventure']",175000000,529221154
Godzilla,2014-05-14,123,"['Action', 'Drama', 'Science Fiction']",160000000,529076069
Dunkirk,2017-07-19,107,"['War', 'Action', 'Drama']",100000000,525573161
Kung Fu Panda 3,2016-01-23,95,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family']",145000000,521170825
Ant-Man,2015-07-14,117,"['Science Fiction', 'Action', 'Adventure']",130000000,519311965
How to Train Your Dragon: The Hidden World,2019-01-03,104,"['Animation', 'Family', 'Adventure']",129000000,517526875
The Grinch,2018-11-08,90,"['Animation', 'Family', 'Comedy', 'Fantasy']",75000000,508575295
Rio 2,2014-03-19,102,"['Adventure', 'Comedy', 'Family', 'Animation']",103000000,500188435
The Boss Baby,2017-03-23,97,"['Animation', 'Comedy', 'Family']",125000000,498814908
How to Train Your Dragon,2010-03-10,100,"['Fantasy', 'Adventure', 'Animation', 'Family']",165000000,494878759
Clash of the Titans,2010-04-01,106,"['Adventure', 'Fantasy', 'Action']",125000000,493214993
Oz the Great and Powerful,2013-03-07,130,"['Fantasy', 'Adventure', 'Family']",200000000,491868548
Maleficent: Mistress of Evil,2019-10-16,118,"['Fantasy', 'Family', 'Adventure']",185000000,491570967
War for the Planet of the Apes,2017-07-11,140,"['Drama', 'Science Fiction', 'War']",150000000,488533726
Rio,2011-04-03,96,"['Animation', 'Adventure', 'Comedy', 'Family']",90000000,484635760
Rise of the Planet of the Apes,2011-08-03,105,"['Thriller', 'Action', 'Drama', 'Science Fiction']",93000000,482860185
Teenage Mutant Ninja Turtles,2014-08-07,101,"['Science Fiction', 'Action', 'Adventure', 'Fantasy', 'Comedy']",125000000,477200000
Hotel Transylvania 2,2015-09-21,89,"['Animation', 'Comedy', 'Family', 'Fantasy']",80000000,473226958
It Chapter Two,2019-09-04,169,"['Horror', 'Fantasy']",79000000,473093228
Wreck-It Ralph,2012-11-01,101,"['Family', 'Animation', 'Comedy', 'Adventure']",165000000,471222889
San Andreas,2015-05-27,114,"['Action', 'Drama', 'Thriller']",110000000,470490832
The Lego Movie,2014-02-06,100,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",60000000,469160692
Bumblebee,2018-12-15,114,"['Action', 'Adventure', 'Science Fiction']",135000000,467989645
Star Trek Into Darkness,2013-05-05,132,"['Action', 'Adventure', 'Science Fiction']",190000000,467365246
Lucy,2014-07-25,89,"['Action', 'Science Fiction']",40000000,458863600
Thor,2011-04-21,115,"['Adventure', 'Fantasy', 'Action']",150000000,449326618
La La Land,2016-11-29,129,"['Comedy', 'Drama', 'Romance', 'Music']",30000000,446486224
追龍,2017-09-28,128,"['Action', 'Crime', 'History']",200005000,445000000
Les Misérables,2012-12-18,158,"['History', 'Drama']",61000000,441809770
Terminator Genisys,2015-06-23,126,"['Science Fiction', 'Action', 'Thriller', 'Adventure']",155000000,440603537
A Star Is Born,2018-10-03,136,"['Drama', 'Romance', 'Music']",36000000,433888866
Warcraft,2016-05-25,123,"['Action', 'Adventure', 'Fantasy']",160000000,433677183
